region_type,N_households,mean_total_peak_kW,median_total_peak_kW,min_total_peak_kW,max_total_peak_kW,std_total_peak_kW,p5_total_peak_kW,p95_total_peak_kW,mean_peak_per_household_kW,median_peak_per_household_kW,min_peak_per_household_kW,max_peak_per_household_kW,std_peak_per_household_kW,p5_peak_per_household_kW,p95_peak_per_household_kW,num_simulations
town,1,4.972574674072674,4.099262949188338,0.7547582500435565,16.606641570354746,2.9016019450096358,1.8254557956401327,11.302993226365158,4.972574674072674,4.099262949188338,0.7547582500435565,16.606641570354746,2.9016019450096358,1.8254557956401327,11.302993226365158,2000
town,2,10.039944549170547,9.053414530858191,2.6562008506890313,29.796947763545262,4.1725396701211706,4.987695308899959,18.276778998380667,5.019972274585274,4.526707265429096,1.3281004253445157,14.898473881772631,2.0862698350605853,2.4938476544499797,9.138389499190334,2000
town,3,14.984772191251281,14.073635737684883,4.927867529974028,39.25931274983698,5.09228252221092,8.274521565191286,24.525156818459617,4.994924063750426,4.691211912561627,1.6426225099913427,13.086437583278993,1.6974275074036398,2.758173855063762,8.175052272819872,2000
town,4,20.121149690545135,19.350252582597623,7.599856878705923,41.04847447262118,5.87961424455571,12.01098780671547,31.135130743069684,5.030287422636284,4.837563145649406,1.8999642196764808,10.262118618155295,1.4699035611389275,3.0027469516788674,7.783782685767421,2000
town,5,25.01018989047385,24.16750145751552,10.787938325144303,50.694905435528526,6.401770372617288,15.890728183678393,36.64986913739483,5.002037978094769,4.833500291503103,2.157587665028861,10.138981087105705,1.2803540745234576,3.1781456367356786,7.329973827478965,2000
town,6,30.017099140777642,29.23497038589289,13.565208719492567,57.20887931374304,6.855753579606913,20.036007332287806,42.36890624446528,5.002849856796273,4.872495064315482,2.2608681199154277,9.534813218957174,1.142625596601152,3.3393345553813014,7.061484374077547,2000
town,7,35.06956643677191,34.43120790340478,16.769008321759415,68.37693534369798,7.702757300393846,23.885637284468164,49.220625649966884,5.009938062395987,4.918743986200683,2.395572617394202,9.768133620528284,1.1003939000562637,3.4122338977811664,7.03151794999527,2000
town,8,40.255719802166766,39.67613698693563,19.841895987112082,74.96704294047018,8.187798923846756,27.982959176641405,54.692971566627705,5.031964975270846,4.959517123366954,2.4802369983890102,9.370880367558772,1.0234748654808445,3.4978698970801756,6.836621445828463,2000
town,9,44.93254696700247,44.0661636287314,24.045479252255717,83.00883379297355,8.710171956592557,31.834020046592304,60.41857683881417,4.992505218555831,4.896240403192378,2.671719916917302,9.223203754774838,0.9677968840658397,3.537113338510256,6.713175204312685,2000
town,10,50.04247626068232,49.12854583241108,27.01871278110663,84.1172286962775,9.016355947690162,36.821354940729066,65.68016713339708,5.004247626068232,4.912854583241108,2.701871278110663,8.411722869627749,0.9016355947690161,3.6821354940729063,6.568016713339707,2000
town,11,55.15274204768279,54.5298755863698,31.164153086982452,89.00315539612319,9.534236016529277,40.496742233725314,72.20967318282366,5.013885640698436,4.957261416942709,2.833104826089314,8.091195945102108,0.8667487287753889,3.6815220212477557,6.56451574389306,2000
town,12,60.08152059681965,59.29966013577124,33.690951559615996,98.68539243626144,10.050627401461838,44.73647359041769,77.7631164648205,5.006793383068305,4.941638344647603,2.807579296634666,8.223782703021786,0.8375522834551532,3.7280394658681404,6.480259705401708,2000
