region_type,N_households,mean_total_peak_kW,median_total_peak_kW,min_total_peak_kW,max_total_peak_kW,std_total_peak_kW,p5_total_peak_kW,p95_total_peak_kW,mean_peak_per_household_kW,median_peak_per_household_kW,min_peak_per_household_kW,max_peak_per_household_kW,std_peak_per_household_kW,p5_peak_per_household_kW,p95_peak_per_household_kW,num_simulations
city,1,3.7150657671512337,3.166421620849223,0.4430180151834611,14.161277087773277,2.0538011639877434,1.4742141993179765,7.836766387024662,3.7150657671512337,3.166421620849223,0.4430180151834611,14.161277087773277,2.0538011639877434,1.4742141993179765,7.836766387024662,2000
city,2,7.493500024675523,7.035906466119643,1.2744281108809996,22.41373368297721,2.82710184775268,3.7775701616667843,12.708833788178886,3.7467500123377615,3.5179532330598215,0.6372140554404998,11.206866841488605,1.41355092387634,1.8887850808333921,6.354416894089443,2000
city,3,11.235765157216667,10.713663644405312,3.252889067875242,29.60600595196069,3.5767400652782344,6.316378456797767,17.645122244198273,3.7452550524055557,3.5712212148017706,1.084296355958414,9.868668650653563,1.192246688426078,2.1054594855992557,5.881707414732757,2000
city,4,15.241865488823525,14.70333803757146,6.581691654072397,36.67072163176896,4.424633867193167,9.274564411997433,23.183194825657665,3.810466372205881,3.675834509392865,1.6454229135180993,9.16768040794224,1.1061584667982918,2.3186411029993583,5.795798706414416,2000
city,5,18.552576076241458,18.02449735322425,8.099466805904926,41.467913381527865,4.490361237998124,12.14673788572863,26.81519846120357,3.7105152152482916,3.60489947064485,1.6198933611809854,8.293582676305572,0.8980722475996248,2.429347577145726,5.363039692240713,2000
city,6,22.595125600212302,22.188935552206054,11.009297694051286,45.32209990834382,4.960170907309298,15.241386310592,31.680929114158957,3.7658542667020503,3.6981559253676757,1.8348829490085476,7.5536833180573035,0.8266951512182162,2.5402310517653333,5.280154852359827,2000
city,7,26.155228061761395,25.781603367553437,12.080194867887943,50.96419101471599,5.36751502368985,18.087466508350396,35.50683313253498,3.736461151680199,3.683086195364776,1.7257421239839918,7.280598716387999,0.7667878605271213,2.5839237869071994,5.072404733219283,2000
city,8,29.788002593132035,29.406260962415082,15.800316823228204,52.953091196358166,5.737478009851543,21.03990833438962,40.00585866227647,3.7235003241415043,3.6757826203018853,1.9750396029035255,6.619136399544771,0.7171847512314429,2.6299885417987023,5.000732332784558,2000
city,9,33.92592388140735,33.36150238600439,16.11315072241012,58.8879070846121,6.228600368129571,24.493947718564257,44.646340996843534,3.76954709793415,3.7068335984449323,1.790350080267791,6.543100787179123,0.6920667075699524,2.7215497465071397,4.9607045552048366,2000
city,10,37.923223339010946,37.48081717023335,20.113581721417084,64.90538893370787,6.658299961304901,27.41865181499419,49.83667991142383,3.7923223339010947,3.7480817170233354,2.0113581721417084,6.490538893370787,0.6658299961304901,2.7418651814994184,4.983667991142383,2000
