region_type,N_households,mean_total_peak_kW,median_total_peak_kW,min_total_peak_kW,max_total_peak_kW,std_total_peak_kW,p5_total_peak_kW,p95_total_peak_kW,mean_peak_per_household_kW,median_peak_per_household_kW,min_peak_per_household_kW,max_peak_per_household_kW,std_peak_per_household_kW,p5_peak_per_household_kW,p95_peak_per_household_kW,num_simulations
town,1,3.701409002832783,3.2341735994105543,0.4430162700845924,14.131953851008571,2.04962214946564,1.473635682330258,7.883364169664326,3.701409002832783,3.2341735994105543,0.4430162700845924,14.131953851008571,2.04962214946564,1.473635682330258,7.883364169664326,2000
town,2,7.479690191516629,6.971442612567756,1.9197134321363691,23.42126299882685,2.9672313033661757,3.6853571892815693,13.066873806867829,3.7398450957583145,3.485721306283878,0.9598567160681846,11.710631499413426,1.4836156516830878,1.8426785946407847,6.533436903433914,2000
town,3,11.158068760516382,10.633601727722386,3.4364293145757125,28.841288964789754,3.6187133079868916,6.200930883996456,17.994729707733555,3.7193562535054605,3.544533909240795,1.1454764381919043,9.613762988263252,1.2062377693289639,2.066976961332152,5.998243235911184,2000
town,4,15.014138159942087,14.473845467872525,5.643862437836239,29.759293249777894,4.200873972145612,9.15080069259633,23.131019681144252,3.753534539985522,3.6184613669681314,1.4109656094590597,7.4398233124444735,1.050218493036403,2.2877001731490827,5.782754920286063,2000
town,5,18.623669951526296,18.067931956615652,8.159117179623873,37.04721571425014,4.558167239176112,11.99010784458171,26.768294483006986,3.7247339903052588,3.6135863913231305,1.6318234359247747,7.409443142850028,0.9116334478352224,2.398021568916342,5.353658896601398,2000
town,6,22.365318341151376,21.832410517860612,9.950922501210528,41.55056662506878,4.8883080743877825,15.110808385679762,31.073991075244436,3.7275530568585618,3.638735086310102,1.658487083535088,6.925094437511464,0.8147180123979637,2.51846806427996,5.17899851254074,2000
town,7,26.150565758930362,25.600021253986355,12.425786102141245,48.05121021984623,5.485561075333316,18.06654525844308,35.76216237938551,3.735795108418623,3.6571458934266223,1.7751123003058922,6.864458602835176,0.7836515821904738,2.58093503692044,5.108880339912216,2000
town,8,29.981178191629127,29.508289252028142,14.60584980700284,54.280531101607586,5.811517933688963,21.200975966728414,40.032543197923815,3.747647273953641,3.6885361565035177,1.825731225875355,6.785066387700948,0.7264397417111204,2.650121995841052,5.004067899740477,2000
town,9,33.49864110249394,32.928617087668556,17.70117221569527,58.45030829141889,6.160321991426431,24.087965390551858,44.49793857619089,3.7220712336104387,3.6587352319631723,1.96679691285503,6.494478699046543,0.6844802212696035,2.6764405989502067,4.944215397354544,2000
town,10,37.326849593873476,36.737474184358874,20.254844649112997,60.12186145378317,6.402010748348822,27.79802391000769,49.03293721596863,3.7326849593873477,3.6737474184358874,2.0254844649112997,6.012186145378317,0.6402010748348822,2.779802391000769,4.903293721596863,2000
town,11,41.118362338977995,40.743473002952705,23.991377616392363,66.5761934318876,6.728611732434768,30.712106456504063,52.91772612635275,3.7380329399070904,3.7039520911775186,2.181034328762942,6.052381221080691,0.6116919756758881,2.7920096778640056,4.810702375122977,2000
town,12,44.78631532651198,44.23042586607029,25.68923762503067,73.18808720982571,7.149548692033827,33.689258259816675,57.174975381934246,3.732192943875999,3.685868822172524,2.1407698020858894,6.099007267485476,0.5957957243361522,2.807438188318056,4.764581281827854,2000
town,13,48.8234387838992,48.43777274213193,27.533109223853508,74.02532390361932,7.314655845094598,37.49943116950162,61.63785211694488,3.7556491372230147,3.7259825186255333,2.117931478757962,5.694255684893794,0.562665834238046,2.8845716284232017,4.741373239764991,2000
