region_type,N_households,mean_total_peak_kW,median_total_peak_kW,min_total_peak_kW,max_total_peak_kW,std_total_peak_kW,p5_total_peak_kW,p95_total_peak_kW,mean_peak_per_household_kW,median_peak_per_household_kW,min_peak_per_household_kW,max_peak_per_household_kW,std_peak_per_household_kW,p5_peak_per_household_kW,p95_peak_per_household_kW,num_simulations
village,1,3.686610120412415,3.2151024234347663,0.4429896864140507,14.003882350903034,2.0594636758833604,1.4607864007818612,7.913885516423704,3.686610120412415,3.2151024234347663,0.4429896864140507,14.003882350903034,2.0594636758833604,1.4607864007818612,7.913885516423704,2000
village,2,7.389826881482702,6.859685028283323,1.5238633979480687,20.250590970523515,2.8649915872641523,3.6473341199822276,12.72716174465104,3.694913440741351,3.4298425141416615,0.7619316989740343,10.125295485261757,1.4324957936320761,1.8236670599911138,6.36358087232552,2000
village,3,10.936874895354249,10.559791031232315,2.7005714366592795,26.868232403965756,3.4210390093591054,6.158983004155433,17.34811700649417,3.645624965118083,3.5199303437441047,0.9001904788864264,8.956077467988585,1.140346336453035,2.052994334718478,5.782705668831391,2000
village,4,14.755660926460756,14.342466879449702,5.221499051375819,32.59548814941263,4.076206446313476,8.869787268427473,22.15182749204035,3.688915231615189,3.5856167198624256,1.3053747628439547,8.148872037353158,1.019051611578369,2.217446817106868,5.537956873010088,2000
village,5,18.501681261534152,17.996249207503254,8.033128026262842,40.93383723654592,4.5606156350052185,12.120485100182906,26.51596910261754,3.7003362523068306,3.599249841500651,1.6066256052525685,8.186767447309183,0.9121231270010438,2.424097020036581,5.303193820523508,2000
village,6,22.112511709475612,21.593971565465075,9.337573772252762,43.23368095661417,5.0469605639144355,14.818594829049095,31.08438908143456,3.6854186182459356,3.598995260910846,1.5562622953754603,7.205613492769029,0.8411600939857392,2.469765804841516,5.180731513572427,2000
village,7,25.79930160847363,25.085001068157307,11.601910388794703,54.85430444471793,5.505310360804451,17.671033672646956,35.437196404759334,3.6856145154962334,3.5835715811653297,1.6574157698278147,7.836329206388276,0.7864729086863501,2.524433381806708,5.062456629251334,2000
village,8,29.384688581075224,29.002092798392436,15.67668276023213,58.46885132870874,5.689367562067329,20.621492699357077,39.41010911723782,3.673086072634403,3.6252615997990545,1.9595853450290162,7.308606416088592,0.7111709452584162,2.5776865874196346,4.926263639654728,2000
village,9,32.96480255584359,32.68236222754136,18.240598143363272,56.70636121716929,6.0900666317810765,23.647941337533275,43.61660960876147,3.6627558395381765,3.631373580837929,2.0267331270403637,6.300706801907698,0.6766740701978974,2.627549037503697,4.846289956529052,2000
village,10,36.5713681136528,36.07817346759731,20.99186545768292,61.936298522825545,6.2891422349421395,27.296347129937583,48.09807410403005,3.6571368113652807,3.607817346759731,2.099186545768292,6.193629852282554,0.6289142234942139,2.729634712993758,4.809807410403005,2000
village,11,40.51871940317532,39.982806281369236,22.63142075269426,68.10357836663665,6.721407238771635,30.421474461086728,52.38952098473615,3.68351994574321,3.6348005710335674,2.0574018866085693,6.191234396966968,0.6110370217065123,2.765588587371521,4.762683725885105,2000
village,12,44.206962812258695,43.91563550099504,26.10044207104692,75.15013259493811,6.787362181965419,33.69199921901708,55.646780690538684,3.6839135676882244,3.6596362917495866,2.17503683925391,6.262511049578176,0.5656135151637849,2.8076666015847564,4.637231724211557,2000
village,13,48.01660614417579,47.567876189194195,30.24446112409989,72.3517286665381,7.176104386898013,36.99224895333194,60.792576863590554,3.6935850880135224,3.6590673991687845,2.3264970095461455,5.5655175897337,0.5520080297613855,2.8455576117947645,4.676352066430042,2000
village,14,51.448076598226706,51.00782888414548,31.139914417122153,82.84632286640536,7.405974174295081,40.195306958747274,64.25418911728907,3.67486261415905,3.643416348867534,2.224279601223011,5.9175944904575255,0.5289981553067915,2.871093354196234,4.589584936949219,2000
village,15,55.45013530985773,55.00496174735677,36.106100881924164,83.48153891669097,7.5861132195906915,43.78248763188963,68.53615160043333,3.696675687323849,3.6669974498237847,2.4070733921282774,5.565435927779398,0.5057408813060461,2.918832508792642,4.569076773362222,2000
village,16,58.69488053482062,58.205553985318296,34.69715763421752,90.59380558384277,7.893906092132514,46.40501107296766,71.89197260464569,3.6684300334262887,3.6378471240823935,2.168572352138595,5.662112848990173,0.49336913075828215,2.9003131920604788,4.4932482877903555,2000
village,17,62.243502472812196,61.754235113827974,39.20923769422107,94.691043810785,8.14951508903634,49.699482679848394,76.124011721587,3.661382498400717,3.6326020655192925,2.3064257467188867,5.570061400634412,0.47938324053154946,2.9234989811675525,4.477883042446294,2000
village,18,66.61233217289858,66.15697351177315,42.71945027935387,100.7867065452757,8.460610992281413,53.573410307595964,80.99272862040202,3.700685120716588,3.6753874173207297,2.3733027932974373,5.599261474737539,0.47003394401563403,2.97630057264422,4.499596034466779,2000
village,19,69.66504633201919,69.3413975769279,44.89291457820958,102.77005098972526,8.477935190472254,56.32719519953307,84.10331857984328,3.666581385895747,3.649547240890942,2.362784977800504,5.408950052090804,0.4462071152880134,2.9645892210280564,4.426490451570698,2000
village,20,73.37906668462129,72.97366485900056,48.440645359045924,107.20925413202059,8.897928622683926,59.62267169368977,89.10871184474793,3.668953334231065,3.6486832429500287,2.422032267952296,5.360462706601029,0.44489643113419625,2.9811335846844886,4.4554355922373965,2000
village,21,77.35503155386499,76.77040067040694,50.085265015483444,107.07937530357988,8.94709902278694,63.70151488609821,92.99845543861085,3.6835729311364274,3.6557333652574737,2.3850126197849257,5.099017871599042,0.4260523344184257,3.0334054707665814,4.428497878029088,2000
village,22,80.75020579160211,80.28962661895349,57.41910512467862,119.99935490265926,9.185830220509581,66.27572421345565,96.61550282410455,3.6704638996182783,3.6495284826797043,2.6099593238490284,5.454516131939058,0.4175377372958901,3.0125329187934384,4.391613764732025,2000
village,23,84.65779719076443,84.24156678977116,54.350251003988575,128.74292057340082,9.368319922483707,70.45984426664681,100.14557715181897,3.680773790902801,3.662676816946572,2.363054391477764,5.597518285800036,0.40731825749929157,3.0634714898542095,4.354155528339955,2000
village,24,88.01958952818313,87.71963264130665,57.94327684891379,126.98258961016784,9.314203030346002,73.60100041032365,103.70006207942153,3.6674828970076305,3.654984693387777,2.4143032020380746,5.290941233756993,0.3880917929310835,3.066708350430152,4.320835919975897,2000
village,25,91.96856576664672,91.58395278277445,63.170521336195705,127.79560339453995,9.66260212283605,76.82893171643308,108.63652663705311,3.6787426306658686,3.663358111310978,2.5268208534478283,5.111824135781598,0.386504084913442,3.073157268657323,4.345461065482125,2000
village,26,95.58766368603709,95.26848077594707,71.03413915810896,127.93055157675842,9.533705929933243,80.68496854913279,111.92072516531594,3.6764486033091193,3.6641723375364252,2.7320822753118827,4.920405829875324,0.3666809973051247,3.1032680211204915,4.304643275589076,2000
