region_type,N,ADMD_kW_per_household,DF,CF
city,1,4.983700442850901,1.0,1.0
city,2,3.765504343636599,1.352865028115717,0.7497485632463611
city,3,3.2677809735330743,1.5766880142283557,0.6447672826722278
city,5,2.6922027590352022,1.9022193647930254,0.5357408729706358
city,10,2.1935046772755875,2.3267017987587795,0.4365264703300643
city,15,1.9832216632926356,2.5658788797059815,0.39468656366543803
city,20,1.884101269094761,2.7046336557973056,0.3736274440868657
city,30,1.7491685317238495,2.8837673517768327,0.34950582515559575
city,40,1.6868822053348718,2.9810012096890994,0.337646044843642
city,50,1.6457180834355076,3.052521828467795,0.3294200259323785
city,75,1.5977731602204912,3.147777091686459,0.3189434164458419
city,100,1.5760396007561495,3.185193086944484,0.31477614310584445
city,120,1.5630463439679092,3.2157780476130746,0.3115486878193876
city,140,1.5507889122743341,3.2366119035026215,0.3093508688262838
city,150,1.5454358928369971,3.2463714532573493,0.308359336534509
city,160,1.5433052896911277,3.2509290734697776,0.3078572478066801
city,180,1.5373184417310701,3.2626698034480963,0.3066311867639599
city,200,1.5300378031603568,3.2766859124841323,0.3052195121253094
town,1,4.999269150924598,1.0,1.0
town,2,3.7660741225009726,1.3435600754065697,0.7545130413913443
town,3,3.289374186232059,1.5832953275987092,0.6422195013709097
town,5,2.7020065627437435,1.8859459979286943,0.5403822466433094
town,10,2.1672246728781746,2.337296922401315,0.43425878844513827
town,15,1.96596162055694,2.5610030023738397,0.3956511009667719
town,20,1.8736840745456194,2.701912333342378,0.37403861878618727
town,30,1.7531067693197557,2.8879467890655643,0.349015680906326
town,40,1.6843103742177554,2.993407870536277,0.33624006322603095
town,50,1.6431595820196032,3.0626974682854606,0.32834828658386983
town,75,1.5995234722785499,3.145796737623472,0.31909023782822427
town,100,1.5735742137474162,3.1895221067308213,0.3143551471928947
town,120,1.5625004224373638,3.2148965878795797,0.3116294239772177
town,140,1.5529152017087293,3.232195540532107,0.30979141084039985
town,150,1.5466601876848858,3.2436775926967276,0.30862293144682007
town,160,1.5428123206820927,3.25410654963997,0.3075476075414632
town,180,1.5368542368520208,3.262164723806477,0.30668006158454636
town,200,1.530014799117172,3.276499612544478,0.305234811459509
village,1,5.1448614294534725,1.0,1.0
village,2,3.7854253323085985,1.3463224703130898,0.7538368376065139
village,3,3.2341552970569865,1.5839284906609497,0.6424924926673565
village,5,2.6894404526658953,1.8968754243172967,0.5372831146512965
village,10,2.175832769119799,2.330077522177045,0.4359428243144711
village,15,1.987364765333804,2.5574868415897853,0.3959709193354238
village,20,1.8713416673869205,2.7075103169263164,0.37311867438062657
village,30,1.7493064636443003,2.879900649852477,0.3501024136027234
village,40,1.685983725032243,2.996688779123646,0.33594696038586946
village,50,1.659592194932617,3.0508392737360337,0.32969301828726394
village,75,1.5978548591536696,3.1365324111672743,0.31998678721448276
village,100,1.5754305914336393,3.1912124600951612,0.31417362512211683
village,120,1.562463608882279,3.213809673601824,0.31174817008223843
village,140,1.5504082915562052,3.2351007259190783,0.30949842142218964
village,150,1.5478822828639727,3.242197727581317,0.3087518106187058
village,160,1.542837749274472,3.253913702971527,0.30757313340336634
village,180,1.5371710317520122,3.263330509233485,0.30657548332738
village,200,1.5304395690203667,3.2766039877758217,0.305224576635535
