N,ADMD_kW_per_household,DF,CF
1,4.983700442850901,1.0,1.0
2,3.765504343636599,1.352865028115717,0.7497485632463611
3,3.2677809735330743,1.5766880142283557,0.6447672826722278
5,2.6922027590352022,1.9022193647930254,0.5357408729706358
10,2.1935046772755875,2.3267017987587795,0.4365264703300643
15,1.9832216632926356,2.5658788797059815,0.39468656366543803
20,1.884101269094761,2.7046336557973056,0.3736274440868657
30,1.7491685317238495,2.8837673517768327,0.34950582515559575
40,1.6868822053348718,2.9810012096890994,0.337646044843642
50,1.6457180834355076,3.052521828467795,0.3294200259323785
75,1.5977731602204912,3.147777091686459,0.3189434164458419
100,1.5760396007561495,3.185193086944484,0.31477614310584445
120,1.5630463439679092,3.2157780476130746,0.3115486878193876
140,1.5507889122743341,3.2366119035026215,0.3093508688262838
150,1.5454358928369971,3.2463714532573493,0.308359336534509
160,1.5433052896911277,3.2509290734697776,0.3078572478066801
180,1.5373184417310701,3.2626698034480963,0.3066311867639599
200,1.5300378031603568,3.2766859124841323,0.3052195121253094
