N,ADMD_kW_per_household,DF,CF
1,4.999269150924598,1.0,1.0
2,3.7660741225009726,1.3435600754065697,0.7545130413913443
3,3.289374186232059,1.5832953275987092,0.6422195013709097
5,2.7020065627437435,1.8859459979286943,0.5403822466433094
10,2.1672246728781746,2.337296922401315,0.43425878844513827
15,1.96596162055694,2.5610030023738397,0.3956511009667719
20,1.8736840745456194,2.701912333342378,0.37403861878618727
30,1.7531067693197557,2.8879467890655643,0.349015680906326
40,1.6843103742177554,2.993407870536277,0.33624006322603095
50,1.6431595820196032,3.0626974682854606,0.32834828658386983
75,1.5995234722785499,3.145796737623472,0.31909023782822427
100,1.5735742137474162,3.1895221067308213,0.3143551471928947
120,1.5625004224373638,3.2148965878795797,0.3116294239772177
140,1.5529152017087293,3.232195540532107,0.30979141084039985
150,1.5466601876848858,3.2436775926967276,0.30862293144682007
160,1.5428123206820927,3.25410654963997,0.3075476075414632
180,1.5368542368520208,3.262164723806477,0.30668006158454636
200,1.530014799117172,3.276499612544478,0.305234811459509
