region_type,N_households,num_simulations,sampling_with_replacement,households_available,timestamps_available,mean_peak_kW,median_peak_kW,std_peak_kW,p5_peak_kW,p50_peak_kW,p95_peak_kW,mean_ADMD_kW_per_household,median_ADMD_kW_per_household,std_ADMD_kW_per_household,p5_ADMD_kW_per_household,p50_ADMD_kW_per_household,p95_ADMD_kW_per_household,mean_DF,median_DF,std_DF,p5_DF,p50_DF,p95_DF,mean_CF,median_CF,std_CF,p5_CF,p50_CF,p95_CF
village,1,2000,False,207,17519,5.1448614294534725,4.117997921761593,3.009480916308587,1.8868326246341869,4.117997921761593,11.426085143204435,5.1448614294534725,4.117997921761593,3.009480916308587,1.8868326246341869,4.117997921761593,11.426085143204435,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
village,2,2000,False,207,17519,7.570850664617197,6.572008139666645,3.396874134766459,3.572076207211597,6.572008139666645,14.161063205121854,3.7854253323085985,3.2860040698333224,1.6984370673832294,1.7860381036057984,3.2860040698333224,7.080531602560927,1.3463224703130898,1.334174874997032,0.16526970196436588,1.1027817069285502,1.334174874997032,1.6407199336951133,0.7538368376065139,0.7495269315545552,0.09124576205610717,0.6094885419420641,0.7495269315545552,0.9067977769918522
village,3,2000,False,207,17519,9.70246589117096,8.917749038333401,3.6885823661007064,4.870897708325909,8.917749038333401,17.083358128698343,3.2341552970569865,2.9725830127778,1.229527455366902,1.6236325694419695,2.9725830127778,5.694452709566115,1.5839284906609497,1.566201466318818,0.2107076556334616,1.273001163230307,1.566201466318818,1.956710705805132,0.6424924926673565,0.6384874642096829,0.08510734097242273,0.5110617527088871,0.6384874642096829,0.7855452373241741
village,5,2000,False,207,17519,13.447202263329478,12.780519913343868,4.067509696582785,7.9533807879662834,12.780519913343868,20.871590900450478,2.6894404526658953,2.5561039826687737,0.8135019393165569,1.5906761575932564,2.5561039826687737,4.174318180090095,1.8968754243172967,1.8764459177306343,0.2615292450586042,1.504492592690749,1.8764459177306343,2.3433026230227294,0.5372831146512965,0.532922367252184,0.07451482146651327,0.426748124920308,0.532922367252184,0.6646759498538712
village,10,2000,False,207,17519,21.75832769119799,21.223970071638767,4.735344477962638,15.118995190605027,21.223970071638767,30.32173807082727,2.175832769119799,2.122397007163877,0.47353444779626375,1.5118995190605025,2.122397007163877,3.032173807082727,2.330077522177045,2.3121112775726123,0.29060579383864565,1.882605661177488,2.3121112775726123,2.8168425000382835,0.4359428243144711,0.4325051349577732,0.05514663200121367,0.3550074448698139,0.4325051349577732,0.5311786858233228
village,15,2000,False,207,17519,29.810471480007063,29.248182925201966,5.241809199937465,22.310552023568786,29.248182925201966,39.29198018919101,1.987364765333804,1.9498788616801312,0.3494539466624977,1.4873701349045858,1.9498788616801312,2.619465345946067,2.5574868415897853,2.5462260711295706,0.2868604391571794,2.0920648836407914,2.5462260711295706,3.0514822042882694,0.3959709193354238,0.3927381154976174,0.0447761332343587,0.32770961780336344,0.3927381154976174,0.4779966588157628
village,20,2000,False,207,17519,37.42683334773841,37.09615151883699,5.459335036765473,29.210802658085356,37.09615151883699,47.035993035854176,1.8713416673869205,1.8548075759418494,0.2729667518382737,1.4605401329042678,1.8548075759418494,2.3517996517927084,2.7075103169263164,2.7045751642754405,0.271075448024988,2.282217943657363,2.7045751642754405,3.167228837244006,0.37311867438062657,0.36974383785417086,0.03811070513717916,0.3157334223726945,0.36974383785417086,0.43817028691645465
village,30,2000,False,207,17519,52.47919390932901,52.06431712618656,6.05124797113721,43.506963971101214,52.06431712618656,63.01660127423978,1.7493064636443003,1.735477237539552,0.20170826570457367,1.4502321323700404,1.735477237539552,2.100553375807993,2.879900649852477,2.8771767827948436,0.2592884352576121,2.452153467311479,2.8771767827948436,3.3052111600287506,0.3501024136027234,0.34756293257980864,0.03208361444097364,0.3025525308024061,0.34756293257980864,0.4078048201603567
village,40,2000,False,207,17519,67.43934900128973,67.0278353521222,6.740038410199696,56.70122508896553,67.0278353521222,79.44737144710619,1.685983725032243,1.675695883803055,0.1685009602549924,1.4175306272241381,1.675695883803055,1.9861842861776549,2.996688779123646,2.99396447591491,0.24360909939780878,2.58891565854437,2.99396447591491,3.3936911539343586,0.33594696038586946,0.3340052999910168,0.02779843045586215,0.29466440956587825,0.3340052999910168,0.38626210066009453
village,50,2000,False,207,17519,82.97960974663084,82.48850163638846,7.282097190611049,71.99811498881365,82.48850163638846,95.55484137069831,1.659592194932617,1.6497700327277696,0.14564194381222098,1.4399622997762729,1.6497700327277696,1.9110968274139661,3.0508392737360337,3.0399151947053697,0.23232774385340987,2.680052806646726,3.0399151947053697,3.4351514493879676,0.32969301828726394,0.32895654518367823,0.025271904003760413,0.2911079820434711,0.32895654518367823,0.3731269982122375
village,75,2000,False,207,17519,119.83911443652522,119.34319743088335,7.996561054472844,107.39588114005339,119.34319743088335,133.97639204362952,1.5978548591536696,1.5912426324117779,0.10662081405963793,1.4319450818673785,1.5912426324117779,1.7863518939150602,3.1365324111672743,3.1394266642819204,0.18838730577629842,2.8212890814312845,3.1394266642819204,3.4423612220123716,0.31998678721448276,0.3185294981973952,0.019438241097417625,0.29049827592738514,0.3185294981973952,0.35444791448168983
village,100,2000,False,207,17519,157.54305914336393,157.33252810038869,8.600098602139498,143.83288845445978,157.33252810038869,172.09433794312542,1.5754305914336393,1.573325281003887,0.08600098602139498,1.4383288845445976,1.573325281003887,1.7209433794312543,3.1912124600951612,3.1882585587186405,0.16204501973750587,2.927858861457325,3.1882585587186405,3.4491284814267185,0.31417362512211683,0.3136508481640856,0.016053607489453225,0.28992831675056835,0.3136508481640856,0.3415465343917236
village,120,2000,False,207,17519,187.49563306587348,187.36870901271885,8.4531296019721,173.58749567768032,187.36870901271885,201.73126194146607,1.562463608882279,1.561405908439324,0.07044274668310083,1.4465624639806693,1.561405908439324,1.6810938495122172,3.213809673601824,3.216802790752899,0.13958326821477882,2.973810986650416,3.216802790752899,3.4479999370766956,0.31174817008223843,0.3108676736488798,0.013632090294339125,0.2900232075056838,0.3108676736488798,0.3362688499434275
village,140,2000,False,207,17519,217.05716081786872,217.11947414316626,7.892289912730077,204.23399059281925,217.11947414316626,229.77901948813215,1.5504082915562052,1.5508533867369017,0.05637349937664341,1.4588142185201374,1.5508533867369017,1.6412787106295155,3.2351007259190783,3.235971681915415,0.11465623827836463,3.0558601533488896,3.235971681915415,3.426118467007131,0.30949842142218964,0.30902619023735134,0.010990997714257829,0.29187548814690667,0.30902619023735134,0.3272401069611675
village,150,2000,False,207,17519,232.18234242959588,232.52902316417516,7.686034906721931,219.71814787212617,232.52902316417516,244.6762795430373,1.5478822828639727,1.5501934877611676,0.05124023271147954,1.4647876524808412,1.5501934877611676,1.631175196953582,3.242197727581317,3.2435479440213495,0.10413114537585744,3.072149697416879,3.2435479440213495,3.4200245534678353,0.3087518106187058,0.30830436839229935,0.009943879285499389,0.2923955617639538,0.30830436839229935,0.3255049725386417
village,160,2000,False,207,17519,246.8540398839155,247.40267185031092,7.041594538307824,234.91609512644703,247.40267185031092,257.57262182960096,1.542837749274472,1.5462666990644434,0.0440099658644239,1.468225594540294,1.5462666990644434,1.609828886435006,3.253913702971527,3.2512600990505645,0.09308215425616619,3.1025432495131526,3.2512600990505645,3.411143620887835,0.30757313340336634,0.30757305461133444,0.008778237036738822,0.29315681518501185,0.30757305461133444,0.32231621596754245
village,180,2000,False,207,17519,276.69078571536215,277.03741934547776,5.774314660965889,266.7390505251345,277.03741934547776,285.4816140494639,1.5371710317520122,1.5390967741415431,0.03207952589425494,1.4818836140285252,1.5390967741415431,1.5860089669414659,3.263330509233485,3.262290024762514,0.0697819982223243,3.149012097647254,3.262290024762514,3.3785514652030777,0.30657548332738,0.30653313869225834,0.006553542918332766,0.2959848357946315,0.30653313869225834,0.31755991066666944
village,200,2000,False,207,17519,306.08791380407337,306.4044534585399,2.875749658145506,300.93532103322633,306.4044534585399,310.3258872140857,1.5304395690203667,1.5320222672926995,0.014378748290727533,1.5046766051661316,1.5320222672926995,1.5516294360704286,3.2766039877758217,3.277316874861893,0.03273980449421917,3.22123489376692,3.277316874861893,3.3296654167716575,0.305224576635535,0.30512765114511664,0.003056731919565156,0.30033047615554265,0.30512765114511664,0.3104399502168761
