N,ADMD_kW_per_household,DF,CF
1,5.1448614294534725,1.0,1.0
2,3.7854253323085985,1.3463224703130898,0.7538368376065139
3,3.2341552970569865,1.5839284906609497,0.6424924926673565
5,2.6894404526658953,1.8968754243172967,0.5372831146512965
10,2.175832769119799,2.330077522177045,0.4359428243144711
15,1.987364765333804,2.5574868415897853,0.3959709193354238
20,1.8713416673869205,2.7075103169263164,0.37311867438062657
30,1.7493064636443003,2.879900649852477,0.3501024136027234
40,1.685983725032243,2.996688779123646,0.33594696038586946
50,1.659592194932617,3.0508392737360337,0.32969301828726394
75,1.5978548591536696,3.1365324111672743,0.31998678721448276
100,1.5754305914336393,3.1912124600951612,0.31417362512211683
120,1.562463608882279,3.213809673601824,0.31174817008223843
140,1.5504082915562052,3.2351007259190783,0.30949842142218964
150,1.5478822828639727,3.242197727581317,0.3087518106187058
160,1.542837749274472,3.253913702971527,0.30757313340336634
180,1.5371710317520122,3.263330509233485,0.30657548332738
200,1.5304395690203667,3.2766039877758217,0.305224576635535
