N,ADMD_kW_per_household,DF,CF
1,3.6792341380612226,1.0,1.0
2,2.821306513871632,1.3435523161702587,0.754544354724204
3,2.447800648392974,1.5626741418945547,0.6511248707203364
5,2.0130071722897007,1.881925888917132,0.540955157880787
10,1.6487384128793825,2.2864202830736464,0.443293326194256
15,1.5002871401651257,2.509642245983204,0.40297799720241234
20,1.4180812311408661,2.656432000394533,0.37993667699379746
30,1.3287391475865045,2.814798561167591,0.35787891469489835
40,1.2821975748274372,2.9017507368931,0.3465478081579925
50,1.2521093250418178,2.9689328679097544,0.33847501295948634
75,1.2186387515214336,3.0542922723091426,0.3285862336956287
100,1.1975151721813286,3.0995359196188454,0.3234035458031074
120,1.1923604966461725,3.1167491421846005,0.32143208247165034
140,1.1862267649995517,3.1288633961491596,0.32001861858382885
150,1.183681215817215,3.133704087152717,0.31943643792424575
160,1.1828123727553237,3.1352353980111727,0.31923518323041367
180,1.1836943068236256,3.1328879696604917,0.3193322987677135
200,1.1818049796111123,3.1359431647879257,0.3189163044869479
