region_type,N_households,num_simulations,sampling_with_replacement,households_available,timestamps_available,mean_peak_kW,median_peak_kW,std_peak_kW,p5_peak_kW,p50_peak_kW,p95_peak_kW,mean_ADMD_kW_per_household,median_ADMD_kW_per_household,std_ADMD_kW_per_household,p5_ADMD_kW_per_household,p50_ADMD_kW_per_household,p95_ADMD_kW_per_household,mean_DF,median_DF,std_DF,p5_DF,p50_DF,p95_DF,mean_CF,median_CF,std_CF,p5_CF,p50_CF,p95_CF
town,1,2000,False,207,17519,3.6729403887922443,3.1542236920016515,2.073889281919137,1.473635682330258,3.1542236920016515,7.952463189664964,3.6729403887922443,3.1542236920016515,2.073889281919137,1.473635682330258,3.1542236920016515,7.952463189664964,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
town,2,2000,False,207,17519,5.580928537906961,5.123595056326641,2.456276281421915,2.525862677790626,5.123595056326641,10.314339819577219,2.7904642689534804,2.5617975281633205,1.2281381407109575,1.262931338895313,2.5617975281633205,5.1571699097886095,1.3438220824547389,1.3280542701491869,0.15706539466414193,1.1121869732933234,1.3280542701491869,1.6352353624926845,0.7540792766718689,0.7529812791589523,0.08600725726215375,0.611532773586031,0.7529812791589523,0.899129421427052
town,3,2000,False,207,17519,7.251821649108586,6.728231524578589,2.639042001507995,3.8243458640181696,6.728231524578589,12.1251669481665,2.4172738830361955,2.242743841526196,0.8796806671693317,1.2747819546727233,2.242743841526196,4.0417223160555,1.5783138333553157,1.566719386610211,0.20443010726289151,1.2737160575449622,1.566719386610211,1.9405356818539026,0.6441248067231202,0.6382764573093871,0.08257171966560212,0.5153216245657382,0.6382764573093871,0.7851043987550047
town,5,2000,False,207,17519,10.053191475211708,9.601354821791158,2.9080834598451255,6.118548439957314,9.601354821791158,15.423840809983245,2.010638295042342,1.9202709643582319,0.5816166919690251,1.2237096879914628,1.9202709643582319,3.084768161996649,1.8719287804756228,1.8486948623747224,0.25334270661963293,1.506928934360586,1.8486948623747224,2.3110901598877027,0.5438105030928805,0.5409221516994405,0.07209104868152084,0.432696232289225,0.5409221516994405,0.6636013095331775
town,10,2000,False,207,17519,16.32320686321914,15.981855323977118,3.51208912432909,11.3785305888483,15.981855323977118,22.643741219650586,1.6323206863219142,1.5981855323977119,0.351208912432909,1.13785305888483,1.5981855323977119,2.2643741219650586,2.295623790147368,2.2863105724894766,0.2709729406681243,1.8706164979820543,2.2863105724894766,2.7722126560566003,0.4417323529443681,0.4373858971507383,0.05251105493091937,0.36072268872955626,0.4373858971507383,0.5345831351756883
town,15,2000,False,207,17519,22.215682839502275,22.062036550777876,3.8910658177475232,16.18757611887075,22.062036550777876,28.893670505316038,1.481045522633485,1.470802436718525,0.2594043878498349,1.07917174125805,1.470802436718525,1.9262447003544028,2.5093319406569705,2.4918517435423744,0.26680491507394655,2.092625388356045,2.4918517435423744,2.9874274560682093,0.4029944529419487,0.4013079844084244,0.04261680025694303,0.33473616183206023,0.4013079844084244,0.47786862097250915
town,20,2000,False,207,17519,28.21270724454587,28.000067211227325,4.467775543247595,21.373650738197846,28.000067211227325,36.08588375535014,1.4106353622272936,1.4000033605613664,0.2233887771623797,1.0686825369098922,1.4000033605613664,1.804294187767507,2.643141215895739,2.6392040509628805,0.25751438381343417,2.231641163979745,2.6392040509628805,3.080865707713531,0.3819570371750999,0.37890211697087306,0.03748676340812484,0.3245840934235002,0.37890211697087306,0.44810072562438996
town,30,2000,False,207,17519,39.92360817059138,39.530023987045695,5.144580302997038,31.9484251575393,39.530023987045695,48.6657789412866,1.3307869390197125,1.3176674662348562,0.17148601009990125,1.06494750525131,1.3176674662348562,1.6221926313762198,2.8079165288110426,2.796310344194624,0.2303292985621964,2.4366605607935994,2.796310344194624,3.1827847367047384,0.3585548720651051,0.3576140975689773,0.029706997137817676,0.3141902754666089,0.3576140975689773,0.410397782515224
town,40,2000,False,207,17519,51.27537011860793,50.8964234533661,5.633126366234669,42.78092634097334,50.8964234533661,60.91756668437346,1.2818842529651984,1.2724105863341524,0.14082815915586674,1.0695231585243334,1.2724105863341524,1.5229391671093364,2.900805164105869,2.9021949835097223,0.22028767079579878,2.532930252254763,2.9021949835097223,3.2579791313255573,0.34675302095901006,0.34456678849404543,0.026765458913719183,0.30693874182270686,0.34456678849404543,0.39479965905728637
town,50,2000,False,207,17519,62.48634438081597,62.2257743885865,6.329384984694586,52.41317528937971,62.2257743885865,73.15950650778352,1.2497268876163194,1.2445154877717302,0.12658769969389172,1.0482635057875942,1.2445154877717302,1.4631901301556705,2.9687369945433475,2.966948505398845,0.20886572248711266,2.6352479591815863,2.966948505398845,3.325992382597619,0.3385181007945905,0.33704663171583715,0.02392639111348457,0.30066214441687134,0.33704663171583715,0.3794709399978108
town,75,2000,False,207,17519,91.1170206204174,90.97904868711765,7.289437062155073,79.40076664132842,90.97904868711765,103.37789478574743,1.2148936082722324,1.2130539824949018,0.09719249416206763,1.0586768885510454,1.2130539824949018,1.3783719304766324,3.056347886239219,3.0568551925861818,0.18310388169833475,2.7634988008096384,3.0568551925861818,3.365688357392676,0.32837044088606215,0.32713358580232454,0.019800058784008107,0.29711604654447554,0.32713358580232454,0.3618601174694201
town,100,2000,False,207,17519,119.46077068736311,119.3826125808541,7.576889941741409,106.96649341332211,119.3826125808541,132.076190123686,1.1946077068736312,1.193826125808541,0.07576889941741409,1.0696649341332212,1.193826125808541,1.3207619012368599,3.0965028498090414,3.094082033282282,0.15227333162377474,2.848922924020505,3.094082033282282,3.3480870379759318,0.32372755078145,0.3231976364477025,0.01595112046023661,0.29867801845472947,0.3231976364477025,0.35100984711516175
town,120,2000,False,207,17519,142.69501140076488,142.49366452040235,7.9519776496906065,129.63407500304152,142.49366452040235,155.67706435334645,1.189125095006374,1.1874472043366864,0.06626648041408839,1.0802839583586792,1.1874472043366864,1.2973088696112203,3.113677170805045,3.112183150886981,0.13384674143055172,2.900953230467234,3.112183150886981,3.339766023456867,0.3217557418766718,0.32131785162190796,0.013799898977549314,0.2994221736331146,0.32131785162190796,0.3447142790105171
town,140,2000,False,207,17519,165.85412595574815,166.12566089641876,7.479902404529038,153.2261668475992,166.12566089641876,177.60991674749152,1.184672328255344,1.1866118635458482,0.05342787431806456,1.0944726203399942,1.1866118635458482,1.2686422624820823,3.1220259705503164,3.117176129877036,0.11363593356616844,2.939691618191898,3.117176129877036,3.31756161084465,0.3207280393591467,0.3208031752270406,0.011640619984194292,0.3014262072775321,0.3208031752270406,0.34017173574600457
