N,ADMD_kW_per_household,DF,CF
1,3.6729403887922443,1.0,1.0
2,2.7904642689534804,1.3438220824547389,0.7540792766718689
3,2.4172738830361955,1.5783138333553157,0.6441248067231202
5,2.010638295042342,1.8719287804756228,0.5438105030928805
10,1.6323206863219142,2.295623790147368,0.4417323529443681
15,1.481045522633485,2.5093319406569705,0.4029944529419487
20,1.4106353622272936,2.643141215895739,0.3819570371750999
30,1.3307869390197125,2.8079165288110426,0.3585548720651051
40,1.2818842529651984,2.900805164105869,0.34675302095901006
50,1.2497268876163194,2.9687369945433475,0.3385181007945905
75,1.2148936082722324,3.056347886239219,0.32837044088606215
100,1.1946077068736312,3.0965028498090414,0.32372755078145
120,1.189125095006374,3.113677170805045,0.3217557418766718
140,1.184672328255344,3.1220259705503164,0.3207280393591467
150,1.1817149211521223,3.1252477549774547,0.32029569094631843
160,1.1818681038756422,3.1280028728143057,0.31994214892625816
180,1.1801942100537393,3.129104854682295,0.3197210780970819
200,1.1800119125703572,3.1286081432553074,0.31966446599380083
