region_type,N_households,num_simulations,sampling_with_replacement,households_available,timestamps_available,mean_peak_kW,median_peak_kW,std_peak_kW,p5_peak_kW,p50_peak_kW,p95_peak_kW,mean_ADMD_kW_per_household,median_ADMD_kW_per_household,std_ADMD_kW_per_household,p5_ADMD_kW_per_household,p50_ADMD_kW_per_household,p95_ADMD_kW_per_household,mean_DF,median_DF,std_DF,p5_DF,p50_DF,p95_DF,mean_CF,median_CF,std_CF,p5_CF,p50_CF,p95_CF
village,1,2000,False,207,17519,3.7317143629379417,3.2151024234347663,2.151453170426349,1.461342804263238,3.2151024234347663,7.913885516423704,3.7317143629379417,3.2151024234347663,2.151453170426349,1.461342804263238,3.2151024234347663,7.913885516423704,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
village,2,2000,False,207,17519,5.537284978986833,5.004387799836657,2.433390044392011,2.4911042594265016,5.004387799836657,10.280918710672964,2.7686424894934163,2.5021938999183284,1.2166950221960056,1.2455521297132508,2.5021938999183284,5.140459355336482,1.3410582746896056,1.3276364364079942,0.15870059050481977,1.1117102527251146,1.3276364364079942,1.6376307748369603,0.7558761696055292,0.7532182551279966,0.08713574932701951,0.6106382655637925,0.7532182551279966,0.8995149609773604
village,3,2000,False,207,17519,7.09438100459224,6.586718578980403,2.652946504527552,3.593563343156763,6.586718578980403,12.019394306544045,2.364793668197413,2.1955728596601345,0.884315501509184,1.197854447718921,2.1955728596601345,4.006464768848016,1.577824727673789,1.5498500129712753,0.2134106494562799,1.2743632390533515,1.5498500129712753,1.9769769274653277,0.6451343632278967,0.6452237354171194,0.08511921606015059,0.5058228173632995,0.6452237354171194,0.7847056262259807
village,5,2000,False,207,17519,9.786192181303255,9.267346408452845,2.977003579797914,5.833668562394198,9.267346408452845,15.271462378139127,1.9572384362606512,1.8534692816905687,0.5954007159595829,1.1667337124788395,1.8534692816905687,3.0542924756278254,1.8894532914729112,1.8637708374765958,0.2614257775333238,1.5113074072503594,1.8637708374765958,2.364456591208996,0.53926179108924,0.5365466504502363,0.07358232026784998,0.42293015828626335,0.5365466504502363,0.6616788457585155
village,10,2000,False,207,17519,16.104568137167163,15.80623948981421,3.4398148178105497,11.08254630479653,15.80623948981421,22.16624968894415,1.6104568137167166,1.5806239489814211,0.343981481781055,1.1082546304796528,1.5806239489814211,2.216624968894415,2.288431767791394,2.277296002957563,0.27079183921567157,1.8655792354224878,2.277296002957563,2.7647330649140995,0.44313391203558483,0.43911727563773856,0.052661662796399736,0.36169857198856337,0.43911727563773856,0.5360266136005255
village,15,2000,False,207,17519,21.978350281757873,21.691918412155005,3.970851273099284,16.09262364558987,21.691918412155005,29.02789586581647,1.4652233521171916,1.4461278941436668,0.264723418206619,1.072841576372658,1.4461278941436668,1.9351930577210978,2.509691154430002,2.5038355241209804,0.27618986641133764,2.077107969908883,2.5038355241209804,2.9908255654097546,0.40333441972747003,0.3993872589888562,0.04486610779456183,0.33435584279460656,0.3993872589888562,0.4814386228243467
village,20,2000,False,207,17519,27.87262441968595,27.68335568808395,4.43796834030635,21.040123301272782,27.68335568808395,35.75405582380189,1.3936312209842974,1.3841677844041975,0.2218984170153175,1.052006165063639,1.3841677844041975,1.7877027911900947,2.6366793370236303,2.629552417578788,0.25871164727054924,2.2328505550096653,2.629552417578788,3.059451217540708,0.38295839134399834,0.3802928669714071,0.03801642528495167,0.32685600674029164,0.3802928669714071,0.4478580092354377
village,30,2000,False,207,17519,39.29212064816248,38.85473919797364,5.286397606455002,31.457403127460374,38.85473919797364,48.97959324838055,1.3097373549387497,1.295157973265788,0.17621325354850007,1.048580104248679,1.295157973265788,1.6326531082793516,2.800079371812009,2.7902891080273013,0.2507554933287643,2.4000089688794572,2.7902891080273013,3.223178835170572,0.3600073386288503,0.35838580577993817,0.03235606614992881,0.31025275208481234,0.35838580577993817,0.41666512751621515
village,40,2000,False,207,17519,50.730524591247836,50.278869499863816,5.8833224693228905,41.85149999124983,50.278869499863816,61.22792922318079,1.2682631147811958,1.2569717374965954,0.14708306173307226,1.046287499781246,1.2569717374965954,1.5306982305795198,2.8953745536957616,2.8899225114555787,0.2295848811852602,2.5279282112486032,2.8899225114555787,3.2830091999585282,0.3475699031223349,0.3460300392375599,0.027805739513977745,0.30459859870869754,0.3460300392375599,0.3955808539951283
village,50,2000,False,207,17519,62.19843247107598,62.0626016031262,6.159715115428527,52.79547957435957,62.0626016031262,72.58523582545646,1.2439686494215196,1.241252032062524,0.12319430230857052,1.0559095914871912,1.241252032062524,1.4517047165091295,2.9545390110980643,2.948378659817852,0.209207206653227,2.6306238862209184,2.948378659817852,3.323227794726604,0.3401646595606941,0.3391694608424248,0.024160385003886335,0.3009122642905177,0.3391694608424248,0.380137961514481
village,75,2000,False,207,17519,90.06146154373465,89.79924762669465,7.1247170235020265,78.84730408668308,89.79924762669465,102.10561749413918,1.2008194872497953,1.197323301689262,0.09499622698002701,1.051297387822441,1.197323301689262,1.3614082332551891,3.0307191223785037,3.027449617458001,0.1795109841978517,2.735997996495333,3.027449617458001,3.334460942054922,0.3311169597893194,0.33031103121374583,0.019694701962313432,0.2998985517100091,0.33031103121374583,0.3654973438415392
village,100,2000,False,207,17519,118.44886290341121,118.50229994256892,7.684395978278438,105.74199683561991,118.50229994256892,130.81975959571028,1.1844886290341121,1.1850229994256893,0.07684395978278438,1.0574199683561991,1.1850229994256893,1.3081975959571028,3.076743210325525,3.0686698239590466,0.1556660209456164,2.8265228251588894,3.0686698239590466,3.3378068067666105,0.3258516442015874,0.32587409490881536,0.016493822666821686,0.29959792814323205,0.32587409490881536,0.3537915890337603
