N,ADMD_kW_per_household,DF,CF
1,3.7317143629379417,1.0,1.0
2,2.7686424894934163,1.3410582746896056,0.7558761696055292
3,2.364793668197413,1.577824727673789,0.6451343632278967
5,1.9572384362606512,1.8894532914729112,0.53926179108924
10,1.6104568137167166,2.288431767791394,0.44313391203558483
15,1.4652233521171916,2.509691154430002,0.40333441972747003
20,1.3936312209842974,2.6366793370236303,0.38295839134399834
30,1.3097373549387497,2.800079371812009,0.3600073386288503
40,1.2682631147811958,2.8953745536957616,0.3475699031223349
50,1.2439686494215196,2.9545390110980643,0.3401646595606941
75,1.2008194872497953,3.0307191223785037,0.3311169597893194
100,1.1844886290341121,3.076743210325525,0.3258516442015874
120,1.178529342727596,3.0909759745087353,0.3241009341153869
140,1.1743969307180744,3.0993477091528483,0.32307083344318527
150,1.173404007495187,3.1017750693174437,0.32275562933360374
160,1.1726741515559256,3.104348135679979,0.32240659927464865
180,1.1716078352867931,3.1052263002471214,0.3221787431124178
200,1.1704311086901398,3.106544388598183,0.3219359558485561
